StockCode,ProductName,YearMonth,Count
10002,INFLATABLE POLITICAL GLOBE ,2010-12,16
10002,INFLATABLE POLITICAL GLOBE ,2011-01,18
10002,INFLATABLE POLITICAL GLOBE ,2011-02,5
10002,INFLATABLE POLITICAL GLOBE ,2011-03,5
10002,INFLATABLE POLITICAL GLOBE ,2011-04,5
10080,GROOVY CACTUS INFLATABLE,2011-02,1
10080,GROOVY CACTUS INFLATABLE,2011-06,1
10080,GROOVY CACTUS INFLATABLE,2011-07,2
10080,GROOVY CACTUS INFLATABLE,2011-08,4
10080,GROOVY CACTUS INFLATABLE,2011-09,4
10080,GROOVY CACTUS INFLATABLE,2011-10,3
10080,GROOVY CACTUS INFLATABLE,2011-11,6
10120,DOGGY RUBBER,2010-12,4
10120,DOGGY RUBBER,2011-02,1
10120,DOGGY RUBBER,2011-03,5
10120,DOGGY RUBBER,2011-05,2
10120,DOGGY RUBBER,2011-07,1
10120,DOGGY RUBBER,2011-08,2
10120,DOGGY RUBBER,2011-09,4
10120,DOGGY RUBBER,2011-10,2
10120,DOGGY RUBBER,2011-11,8
10120,DOGGY RUBBER,2011-12,1
10125,MINI FUNKY DESIGN TAPES,2010-12,7
10125,MINI FUNKY DESIGN TAPES,2011-01,7
10125,MINI FUNKY DESIGN TAPES,2011-03,10
10125,MINI FUNKY DESIGN TAPES,2011-04,6
10125,MINI FUNKY DESIGN TAPES,2011-05,6
10125,MINI FUNKY DESIGN TAPES,2011-06,2
10125,MINI FUNKY DESIGN TAPES,2011-07,10
10125,MINI FUNKY DESIGN TAPES,2011-08,4
10125,MINI FUNKY DESIGN TAPES,2011-09,4
10125,MINI FUNKY DESIGN TAPES,2011-10,4
10125,MINI FUNKY DESIGN TAPES,2011-11,2
10125,MINI FUNKY DESIGN TAPES,2011-12,2
10133,COLOURING PENCILS BROWN TUBE,2010-12,13
10133,COLOURING PENCILS BROWN TUBE,2011-01,4
10133,COLOURING PENCILS BROWN TUBE,2011-02,5
10133,COLOURING PENCILS BROWN TUBE,2011-03,7
10133,COLOURING PENCILS BROWN TUBE,2011-04,2
