StockCode,ProductName,Count,LatestMonth,UnsoldDuration
10002,INFLATABLE POLITICAL GLOBE ,49,2011-04,8
10080,GROOVY CACTUS INFLATABLE,21,2011-11,1
10120,DOGGY RUBBER,30,2011-12,0
10125,MINI FUNKY DESIGN TAPES,64,2011-12,0
10133,COLOURING PENCILS BROWN TUBE,125,2011-09,3
10135,COLOURING PENCILS BROWN TUBE,122,2011-12,0
11001,ASSTD DESIGN RACING CAR PEN,69,2011-12,0
15030,FAN BLACK FRAME ,13,2011-12,0
15034,PAPER POCKET TRAVELING FAN ,95,2011-11,1
15036,ASSORTED COLOURS SILK FAN,329,2011-12,0
15039,SANDALWOOD FAN,74,2011-12,0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),70,2011-12,0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3,2011-03,9
16011,ANIMAL STICKERS,47,2011-12,0
16012,FOOD/DRINK SPONGE STICKERS,37,2011-12,0
16014,SMALL CHINESE STYLE SCISSOR,54,2011-12,0
16015,MEDIUM CHINESE STYLE SCISSOR,24,2011-11,1
16016,LARGE CHINESE STYLE SCISSOR,65,2011-12,0
16033,MINI HIGHLIGHTER PENS,4,2011-02,10
16043,POP ART PUSH DOWN RUBBER ,2,2011-06,6
16045,POPART WOODEN PENCILS ASST,69,2011-12,0
16046,TEATIME PEN CASE & PENS,16,2011-11,1
16048,TEATIME ROUND PENCIL SHARPENER ,49,2011-11,1
16049,TEATIME GEL PENS ASST,5,2011-05,7
16052,TEATIME PUSH DOWN RUBBER,6,2011-06,6
16054,POPART RECT PENCIL SHARPENER ASST,34,2011-12,0
16216,LETTER SHAPE PENCIL SHARPENER,41,2011-12,0
16218,CARTOON  PENCIL SHARPENERS,50,2011-12,0
16219,HOUSE SHAPE PENCIL SHARPENER,48,2011-12,0
16225,RATTLE SNAKE EGGS,77,2011-12,0
16235,RECYCLED PENCIL WITH RABBIT ERASER,82,2011-12,0
16236,KITTY PENCIL ERASERS,73,2011-12,0
16237,SLEEPING CAT ERASERS,170,2011-12,0
16238,PARTY TIME PENCIL ERASERS,80,2011-12,0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,9,2011-11,1
16259,PIECE OF CAMO STATIONERY SET,32,2011-11,1
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1,2011-02,10
17003,BROCADE RING PURSE ,212,2011-12,0
17021,NAMASTE SWAGAT INCENSE,57,2011-12,0
17038,PORCELAIN BUDAH INCENSE HOLDER,19,2011-11,1
17096,ASSORTED LAQUERED INCENSE HOLDERS,13,2011-07,5
17174,ASSTD RASTA KEY-CHAINS,3,2011-11,1
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,18,2011-07,5
20615,BLUE POLKADOT PASSPORT COVER,35,2011-12,0
20616,CHERRY BLOSSOM PASSPORT COVER,25,2011-12,0
20617,FIRST CLASS PASSPORT COVER ,26,2011-11,1
20618,QUEEN OF THE SKIES PASSPORT COVER ,28,2011-12,0
20619,TROPICAL PASSPORT COVER ,22,2011-11,1
20622,VIP PASSPORT COVER ,11,2011-11,1
20622,VIPPASSPORT COVER ,22,2011-06,6
20652,BLUE POLKADOT LUGGAGE TAG ,36,2011-12,0
20653,CHERRY BLOSSOM LUGGAGE TAG,6,2011-12,0
20654,FIRST CLASS LUGGAGE TAG ,24,2011-12,0
20655,QUEEN OF SKIES LUGGAGE TAG,34,2011-12,0
20657,TROPICAL LUGGAGE TAG,22,2011-11,1
20658,RED RETROSPOT LUGGAGE TAG,62,2011-09,3
20659,ECONOMY LUGGAGE TAG,32,2011-12,0
20661,BLUE POLKADOT PURSE ,5,2011-10,2
20662,FIRST CLASS HOLIDAY PURSE ,5,2011-10,2
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,2011-10,2
20664,TROPICAL HOLIDAY PURSE ,3,2010-12,12
20665,RED RETROSPOT PURSE ,73,2011-10,2
20666,ECONOMY HOLIDAY PURSE,4,2011-04,8
20667,CHERRY BLOSSOM PURSE,1,2011-05,7
20668,DISCO BALL CHRISTMAS DECORATION,188,2011-12,0
20669,RED HEART LUGGAGE TAG,47,2011-11,1
20670,VIP HOLIDAY PURSE,6,2011-11,1
20671,BLUE TEATIME PRINT BOWL ,2,2010-12,12
20674,GREEN POLKADOT BOWL,153,2011-12,0
20675,BLUE POLKADOT BOWL,228,2011-12,0
20676,RED RETROSPOT BOWL,307,2011-12,0
20677,PINK POLKADOT BOWL,225,2011-12,0
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1,2011-09,3
20679,EDWARDIAN PARASOL RED,274,2011-12,0
20681,PINK POLKADOT CHILDRENS UMBRELLA,36,2011-04,8
